,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Goodwill And Other Intangible Assets,377172000.0,377172000.0,377172000.0,377172000.0
Other Intangible Assets,,,,
Goodwill,377172000.0,377172000.0,377172000.0,377172000.0
Net PPE,43715013000.0,43375015000.0,42624163000.0,42945788000.0
Accumulated Depreciation,-26274303000.0,-25902180000.0,-25570360000.0,-25288047000.0
Gross PPE,69989316000.0,69277195000.0,68194523000.0,68233835000.0
Construction In Progress,2296265000.0,2190958000.0,2157341000.0,1844171000.0
Other Properties,1026531000.0,1112327000.0,1090033000.0,1050783000.0
Machinery Furniture Equipment,,,,
Buildings And Improvements,,,,
Land And Improvements,,,,
Properties,,,,
Current Assets,5329659000.0,4692614000.0,5266242000.0,4095026000.0
Other Current Assets,238828000.0,223838000.0,206353000.0,190611000.0
Hedging Assets Current,,,,
Prepaid Assets,,,206353000.0,
Inventory,1544331000.0,1498862000.0,1410603000.0,1330940000.0
Finished Goods,,,,
Work In Process,,,,
Raw Materials,,,,
Receivables,1712740000.0,1429998000.0,1240657000.0,1495257000.0
Other Receivables,203151000.0,213773000.0,197554000.0,241702000.0
Accounts Receivable,958197000.0,624927000.0,606362000.0,757696000.0
Allowance For Doubtful Accounts Receivable,-27813000.0,-21840000.0,-23338000.0,-30856000.0
Gross Accounts Receivable,986010000.0,646767000.0,629700000.0,788552000.0
Cash Cash Equivalents And Short Term Investments,1519774000.0,1194342000.0,1970512000.0,224164000.0
Other Short Term Investments,,,,
Cash And Cash Equivalents,-0.16560454611922454,-0.17493391370229494,-0.15268295117570949,-0.20274662782692957
Foreign Currency Translation Adjustments,,,,
Minimum Pension Liabilities,,,,
Preferred Stock,0.0,0.0,0.0,0.0
Long Term Provisions,4973862000.0,4898119000.0,4856332000.0,4802732000.0
Current Provisions,,,,
Inventories Adjustments Allowances,,,,
Other Payable,,,,
Dividends Payable,,,,
Other Investments,4483317000.0,4560006000.0,4349892000.0,4121864000.0
Available For Sale Securities,,,,
Other Equity Interest,,,,
Non Current Deferred Revenue,,,,
Leases,,,,
Cash Equivalents,1414486000.0,1126621000.0,1907788000.0,108874000.0
Cash Financial,105288000.0,67721000.0,62724000.0,115290000.0
Dueto Related Parties Current,,,,
Non Current Prepaid Assets,,,,
Duefrom Related Parties Current,,,,
Preferred Stock Equity,,,,
Liabilities Heldfor Sale Non Current,,,,
Preferred Securities Outside Stock Equity,219410000.0,219410000.0,219410000.0,254410000.0
Interest Payable,261835000.0,202071000.0,225891000.0,195264000.0
Non Current Note Receivables,,,,
Investments In Other Ventures Under Equity Method,,,,
Investmentsin Associatesat Cost,,,,
Assets Held For Sale Current,,,,
Restricted Cash,,,,
Unrealized Gain Loss,,,,
Loans Receivable,,,,
Commercial Paper,,,,
Derivative Product Liabilities,,,,
Financial Assets,,,,
Current Deferred Assets,313986000.0,345574000.0,438117000.0,854054000.0
Taxes Receivable,,,,
Current Deferred Taxes Liabilities,,,,0.0
Line Of Credit,,,,
Receivables Adjustments Allowances,,,,
Investmentsin Joint Venturesat Cost,,,,
Investment Properties,,,,
Notes Receivable,,,,
Preferred Shares Number,,,,
Current Notes Payable,,,,
Non Current Accrued Expenses,,,,
Held To Maturity Securities,,,,
Trading Securities,,,,
Other Inventories,,,,
Investmentsin Subsidiariesat Cost,,,,
Accrued Interest Receivable,,,,
Current Deferred Taxes Assets,,,,
Dueto Related Parties Non Current,,,,
Duefrom Related Parties Non Current,,,,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,,,
